YEAR	AVERAGE
1775	107.0
1776	84.0
1777	86.0
1778	98.0
1779	101.0
1780	85.0
1781	99.0
1782	88.0
1783	98.0
1784	81.0
1785	76.0
1786	73.0
1787	99.0
1788	93.0
1789	100.0
1790	100.0
1791	109.0
1792	102.0
1793	104.0
1794	113.0
1795	99.0
1796	100.0
1797	109.0
1798	105.0
1799	76.0
1800	98.0
1801	108.0
1802	100.0
1803	92.0
1804	75.0
1805	56.0
1806	78.0
1807	75.0
1808	63.0
1809	68.0
1810	67.0
1811	77.0
1812	61.0
1813	66.0
1814	59.0
1815	67.0
1816	63.0
1817	69.0
1818	69.0
1819	72.0
1820	63.0
1821	69.0
1822	74.0
1823	67.0
1824	73.0
1825	71.0
1826	67.0
1827	69.0
1828	71.0
1829	54.0
1830	65.0
1831	69.0
1832	65.0
1833	70.0
1834	77.0
1835	66.0
1836	68.0
1837	60.0
1838	51.0
1839	65.0
1840	53.0
1841	67.0
1842	59.0
1843	67.0
1844	60.0
1845	59.0
1846	70.0
1847	59.0
1848	63.0
1849	59.0
1850	61.0
1851	61.0
1852	68.0
1853	55.0
1854	62.0
1855	53.0
1856	62.0
1857	63.0
1858	56.0
1859	70.0
1860	60.0
1861	64.0
1862	68.0
1863	71.0
1864	50.0
1865	62.0
1866	70.0
1867	64.0
1868	76.0
1869	65.0
1870	54.0
1871	51.0
1872	71.0
1873	68.0
1874	63.0
1875	60.0
1876	63.0
1877	65.0
1878	66.0
1879	56.0
1880	67.0
1881	58.0
1882	68.0
1883	62.0
1884	67.0
1885	64.0
1886	66.0
1887	59.0
1888	59.0
1889	63.0
1890	64.0
1891	61.0
1892	61.0
1893	61.0
1894	65.0
1895	60.0
1896	62.0
1897	65.0
1898	70.0
1899	64.0
1900	67.0
1901	62.0
1902	57.0
1903	67.0
1904	67.0
1905	65.0
1906	67.0
1907	64.0
1908	62.0
1909	61.0
1910	68.0
1911	70.0
1912	61.0
1913	66.0
1914	66.0
1915	64.0
1916	72.0
1917	60.0
1918	69.0
1919	63.0
1920	70.0
1921	71.0
1922	60.0
1923	67.0
1924	62.0
1925	69.0
1926	72.0
1927	68.0
1928	69.0
1929	60.0
1930	72.0
1931	64.0
1932	68.0
1933	61.0
1934	79.0
1935	69.0
1936	69.0
1937	72.0
1938	73.0
1939	71.0
1940	57.0
1941	61.0
1942	60.0
1943	70.0
1944	68.0
1945	72.0
1946	69.0
1947	68.0
1948	72.0
1949	73.0
1950	71.0
1951	73.0
1952	69.0
1953	73.0
1954	67.0
1955	66.0
1956	60.0
1957	70.0
1958	70.0
1959	70.0
1960	68.0
1961	71.0
1962	61.0
1963	61.0
1964	67.0
1965	66.0
1966	75.0
1967	75.0
1968	70.0
1969	65.0
1970	67.0
1971	70.0
1972	68.0
1973	69.0
1974	76.0
1975	75.0
1976	70.0
1977	73.0
1978	67.0
1979	70.0
1980	64.0
1981	72.0
1982	72.0
1983	76.0
1984	70.0
1985	66.0
1986	71.0
1987	67.0
1988	77.0
1989	78.0
1990	78.0
1991	71.0
1992	80.0
1993	74.0
1994	81.0
1995	74.0
1996	64.0
1997	72.0
1998	76.0
1999	78.0
2000	82.0
2001	76.0
2002	81.0
2003	76.0
2004	76.0
2005	34.0
